KEY,en,notes,sp,fr,de,it,pt-br,zh
EABILITY_CATCALL_NAME,Cat Call,,Llamada felina,Huée,Katzenjammer,Richiamo del Gatto,Cantada,猫叫声
EABILITY_MUTATE_NAME,Mutate,,Mutación,Mutation,Mutation,Mutazione,Mutação,变异
EABILITY_TUMORPRISON_NAME,Tumor Prison,,Prisión tumoral,Prison tumeur,Tumorgefängnis,Prigione Tumorale,Prisão de Tumor,肿瘤牢笼
EABILITY_RALLYMAGGOTS_NAME,"Rally, Maggots!",,Gusanos replegados,Ralliement d'asticots,"Auf sie, ihr Maden!","Radunatevi, Larve!","Vermes, Comigo!",集结，蛆虫们！
EABILITY_ZAP_NAME,Zap,,Calambre,Bzzzz,Stromstoß,Zap,Zap,闪电
EABILITY_FATLEAP_NAME,Fat Leap,,Brinco grasiento,Gros saut,Fetter Sprung,Balzo Ciccione,Salto Gorduroso,胖子跳跃
EABILITY_XLIGHTNING_NAME,X Lightning,,Rayo X,Éclair X,X-Blitz,Fulmin-X,Raio X,X 闪电
EABILITY_SLIDE_NAME,Slide,,Deslizamiento,Glissade,Rutschen,Scivolata,Deslizar,滑动
EABILITY_MCFLAMETHROWER_NAME,MC Flamethrower,,Lanzallamas de GM,CM&nbsp;Lance-flammes,MC-Flammenwerfer,Lanciafiamme del GM,Lança-Chamas MC,MC 火焰喷射器
EABILITY_MCBLIZZ_NAME,MC Blizz,,Ventisca de GM,CM&nbsp;Blizzard,MC-Blizz,Bufera del GM,Nevasca MC,MC 冰暴
EABILITY_MCTHUNDER_NAME,MC Thunder,,Trueno de GM,CM&nbsp;Tonnerre,MC-Donner,Tuono del GM,Trovão MC,MC 雷鸣
EABILITY_D6FIZZLE_NAME,0 : Fizzle,,0 : Chisporroteo,0&nbsp;: Crépitement,0 : Zischen,0: Sibilo,0 : Silvo,0 : 噼啪声
EABILITY_D6CONFUSION_NAME,1 : Confusion,,1 : Confusión,1&nbsp;: Confusion,1 : Verwirrung,1: Confusione,1 : Confusão,1 : 困惑
EABILITY_D6POOP_NAME,2 : Poop,,2 : Caca,2&nbsp;: Crotte,2 : Häufchen,2: Cacca,2 : Cocô,2 : 大便
EABILITY_D6LEECH_NAME,2 : Leech,,2 : Sanguijuela,2&nbsp;: Sangsue,2 : Blutegel,2: Sanguisuga,2 : Sanguessuga,2 : 虫吸
EABILITY_D6LASER_NAME,3 : Laser,,3 : Láser,3&nbsp;: Laser,3 : Laser,3: Laser,3 : Laser,3 : 激光
EABILITY_D6KNIVES_NAME,4 : Knives,,4 : Cuchillos,4&nbsp;: Couteaux,4 : Messer,4: Coltelli,4 : Facas,4 : 匕首
EABILITY_D6QUAKE_NAME,4 : Quake,,4 : Temblor,4&nbsp;: Séisme,4 : Beben,4: Terremoto,4 : Terremoto,4 : 震颤
EABILITY_D6STORM_NAME,5 : Storm,,5 : Tormenta,5&nbsp;: Tempête,5 : Sturm,5: Tempesta,5 : Tempestade,5 : 风暴
EABILITY_D6WRATH_NAME,6 : Wrath,,6 : Ira,6&nbsp;: Colère,6 : Zorn,6: Ira,6 : Ira,6 : 愤怒
EABILITY_ROLLDICE_NAME,Roll!,,¡Tirada!,Roule&nbsp;!,Wurf!,Tira!,Cambalhota!,掷骰！
EABILITY_SHOVE_NAME,Shove,,Envite,Bourrade,Schubsen,Spinta,Encontrão,推搡
EABILITY_POISONKNIFE_NAME,Poison Knife,,Cuchillo venenoso,Couteau empoisonné,Giftmesser,Coltello Avvelenato,Faca Envenenada,毒匕首
EABILITY_HEALBOMB_NAME,Heal Bomb,,Bomba curativa,Bombe de soin,Heilbombe,Bomba Curativa,Bomba de Cura,治疗炸弹
EABILITY_MASSHEAL_NAME,Mass Heal,,Curación colectiva,Soin de masse,Massenheilung,Cura di Massa,Cura em Massa,群体治疗
EABILITY_CHAINDASH_NAME,Chain Dash,,Carrera encadenada,Charge en chaîne,Mehrfachansturm,Scatto a Catena,Impulso Encadeado,连锁冲刺
EABILITY_SHADOWDAGGER_NAME,Shadow Dagger,,Daga sombría,Dague de l'ombre,Schattenmesser,Pugnale d'Ombra,Adaga Sombria,暗影匕首
EABILITY_GLARE_NAME,Glare,,Resplandor,Regard noir,Schlangenblick,Abbagliamento,Brilho,凝视
EABILITY_BLOW_NAME,Blow,,Golpetazo,Choc,Hieb,Soffio,Assoprão,吹气
EABILITY_HEALINGWORD_NAME,Healing Word,,Palabra curativa,Mot guérisseur,Heilendes Wort,Parola Curativa,Palavra Curativa,治疗之语
EABILITY_BEARTRAP_NAME,Bear Trap,,Cepo para osos,Piège à ours,Bärenfalle,Trappola per Orsi,Armadilha de Urso,熊夹陷阱
EABILITY_SPIN_NAME,Spin,,Giro,Tour,Wirbel,Rotazione,Giro,旋转
EABILITY_DASH_NAME,Dash,,Carrera,Impulsion,Ansturm,Scatto,Impulso,冲刺
EABILITY_LICK_NAME,Lick,,Lametón,Léchouille,Schlecker,Leccata,Lambida,舔
EABILITY_SPITGLASS_NAME,Spit Glass,,Escupitajo de cristal,Crachat de verre,Glas spucken,Sputo di Vetro,Cuspir Vidro,吐出玻璃
EABILITY_SIRENCALL_NAME,Siren Call,,Canto de sirena,Chant de sirène,Sirenengesang,Richiamo della Sirena,Canto da Sereia,海妖之声
EABILITY_FURYSWIPES_NAME,Fury Swipes,,Golpes con furia,Frappes furieuses,Kratzfurie,Zampate di Furia,Golpes Furiosos,狂怒连击
EABILITY_HITLERSWIPES_NAME,Führer Swipes,,Golpes del Führer,Frappes de Führer,Kratzführer,Zampate del Führer,Golpes do Führer,元首挥击
EABILITY_CHUMSHOT_NAME,Chum Shot,,Tiro de cebo,Tir allié,Köderschuss,Colpo di Pastura,Disparo Amigável,诱饵射击
EABILITY_CHUMDASH_NAME,Chum Dash,,Carrera de cebo,Charge alliée,Köderansturm,Scatto di Pastura,Impulso Amigável,诱饵冲刺
EABILITY_SCATTER_NAME,Scatter.,,Dispersión,Dispersion.,Auseinander.,Disperdetevi.,Espalhamento.,分散。
EABILITY_HIDE_NAME,Hide.,,Pellejo,Cachez-vous.,Verstecken.,Nascondetevi.,Esconder.,隐藏。
EABILITY_MEATTENTACLE_NAME,Meat Tentacle,,Tentáculo carnoso,Viande de tentacule,Fleischtentakel,Tentacolo di Carne,Tentáculo de Carne,肉触手
EABILITY_LITTER_NAME,Litter,,Basura,Détritus,Streu,Lettiera,Jogar Lixo,垃圾
EABILITY_WIGGLE_NAME,Wiggle,,Serpenteo,Trémoussage,Wackel,Dimenamento,Balançada,扭动
EABILITY_MEATMINION_NAME,Meat Minion,,Secuaz carnoso,Viande de serviteur,Fleischdiener,Servitore di Carne,Servo de Carne,肉爪牙
EABILITY_BLOATYEXPLODE_NAME,Explode,,Explosión,Explosion,Explodieren,Esplosione,Explosão,爆炸
EABILITY_BLOATYEXPLODE_DESC,he explode,,explota,Une explosion.,er macht Bumm,lui esplode,ele faz bum,他爆炸
EABILITY_SPAWNDIP_NAME,Spawn Dip,,Generación de catalino,Invocation de caca,Köttel rufen,Generazione Cacchina,Gerar Caquinha,生成蘸料
EABILITY_LEECHDASH_NAME,Leech Dash,,Carrera de sanguijuelas,Charge de sangsue,Blutegelansturm,Scatto della Sanguisuga,Impulso Sanguessuga,水蛭冲刺
EABILITY_BUMBLEJUMP_NAME,Bumble Jump,,Bumblesalto,Saut de ver glouton,Bummelsprung,Bubbosalto,Salto Confuso,大黄蜂跳跃
EABILITY_FEAST_NAME,Feast,,Festín,Festin,Festmahl,Banchetto,Banquete,盛宴
EABILITY_BONESPURT_NAME,Bone Spurt,,Borbotón óseo,Jet d'os,Knochensporn,Schizzo d'Ossa,Esporão Ósseo,骨刺
EABILITY_ROCKSONG_NAME,Rock Song,,Canción roquera,Morceau de rock,Steinlied,Canzone della Roccia,Canção de Rock,石之歌
EABILITY_CHUBSPIN_NAME,Chub Spin,,Giro de Chub,Toupie moignon,Chub-Wirbel,Trottola di Chubs,Giro Gorduroso,肥仔旋转
EABILITY_NUKE_NAME,Nuke,,Arma nuclear,Bombe nucléaire,Atombombe,Bomba Nucleare,Nuclear,核弹
EABILITY_NUBFLUB_NAME,Nub Flub,,Pifia de Nub,Bourde moignon,Nub-Sprung,Pasticcio di Flubs,Catotada,残废失误
EABILITY_FLUSH_NAME,Flush,,Cisterna,Chasse d'eau,Spülung,Sciacquone,Descarga,冲刷
EABILITY_TENTICKLES_NAME,Ten Tickles,,Pulpillitas,Tentaccule,Kitzler,Solletico Tentacolare,Dez Cócegas,十次挠痒
EABILITY_BOTTOMSUP_NAME,Bottoms Up,,¡Salud!,Cul sec,Prost,Cin Cin,Inversão,干杯
EABILITY_BOTTOMSUP_DESC,Gain 5HP. Can only be used when standing in water.,,Obtiene 5 PS. Solo puede usarse en el agua.,Confère PV&nbsp;+5. Ne peut être utilisé que dans l'eau.,Erhalte 5&nbsp;LP. Kann nur im Wasser verwendet werden.,Ottieni 5 PS. Può essere usato solo stando in acqua.,Obtenha 5 PV. Só pode ser utilizado na água.,"获得5生命值。
只能在站在水中时使用。"
EABILITY_LOBBEDWATERSHOT_NAME,Lobbed Water Shot,,Tiro de agua en arco,Tir aquatique en cloche,Wasserschuss,Tiro d'Acqua a Parabola,Disparo Aquático em Arco,抛投水弹
EABILITY_LOBBEDWATERSHOT_DESC,Lobbed Water attack.,,Lanza un ataque acuoso en arco.,Attaque aquatique en cloche.,"Ein Wasserangriff, der Hindernisse ignoriert.",Attacco d'acqua a parabola.,Ataque Aquático em Arco.,抛投水攻击。
EABILITY_DISGUISE_NAME,Disguise,,Disfraz,Déguisement,Tarnung,Travestimento,Disfarce,伪装
EABILITY_COUNTERSPELL_NAME,Counterspell,,Contrahechizo,Contre-sort,Zauberkonter,Controincantesimo,Contrafeitiço,反魔法术
EABILITY_COUNTERSPELL_DESC,"Counter the next spell an enemy casts.
If counterspell isn't triggered by your next turn, absorb it to gain +2 Damage and +2 All Stats Up.",,"Contrarresta el siguiente hechizo de un enemigo.
Si esta unidad no activa el contrahechizo en el siguiente turno, lo absorbe para obtener +2 de daño y +2 de aumento total.","Contre le prochain sort ennemi. Si le contre-sort ne se déclenche pas d'ici votre prochain tour, vous l'absorbez pour gagner Dégâts&nbsp;+2 et Hausse de stats&nbsp;+2.","Kontert den nächsten Zauber, den ein Gegner wirkt.
Wenn Zauberkonter bis zu deinem nächsten Zug nicht ausgelöst wurde, erhalte +2&nbsp;Schaden und +2&nbsp;Bonus auf alle Attribute.","Contrasta il prossimo incantesimo lanciato da un nemico.
Se il controincantesimo non viene attivato entro il tuo prossimo turno, lo assorbi e ottieni +2 al Danno e +2 Aumento delle Statistiche.","Contra-ataca o próximo encantamento lançado por um inimigo.
Se o contrafeitiço não for ativado no seu próximo turno, absorva-o para obter +2 de dano e +2 em todos os atributos.","反制敌人下一次施放的法术。
如果反魔法术在你下一回合之前未被触发，

则吸收该法术，
获得+2伤害和+2所有属性提升。
"
EABILITY_BRAINMISSLE_NAME,Brain Missile,,Misil cerebral,Missile psy,Hirnrakete,Missile Mentale,Míssil Cerebral,脑导弹
EABILITY_BRAINMISSLE_DESC,Shoot an infinite-range projectile that can't miss.,,Dispara un proyectil de alcance infinito que no puede fallar.,Tire un projectile à portée infinie qui ne rate jamais sa cible.,"Feuere ein Geschoss mit unendlicher Reichweite ab, das nicht verfehlen kann.",Spara un proiettile a raggio d'azione infinito che non può mancare il bersaglio.,Dispare um projétil de alcance infinito que não pode errar.,"发射一个不会失手的无限射程弹幕。
"
EABILITY_ACIDSHOT_NAME,Acid Shot,,Tiro ácido,Tir acide,Säureschuss,Colpo Acido,Disparo Ácido,酸液射击
EABILITY_SUCK_NAME,Suck,,Succión,Aspiration,Sauger,Risucchio,Sugar,吸入
EABILITY_SUCK_DESC,"Inhale a unit, then spit it out.",,Aspira a una unidad y luego la escupe.,"Aspire une unité, puis la recrache.",Atme eine Einheit ein und spucke sie anschließend aus.,Inala un'unita e poi la sputa via.,Inale uma unidade e então cuspa-a.,吸入一个单位，然后吐出。
EABILITY_WOLFLEAP_NAME,Wolf Leap,,Brinco lobuno,Bond de loup,Wolfsprung,Salto del Lupo,Salto do Lobo,狼跃
EABILITY_DOOM_NAME,DOOM,,Condenación,MALHEUR,TODESURTEIL,SCIAGURA,PERDIÇÃO,末日
EABILITY_LEECHES_NAME,Leeches,,Sanguijuelas,Sangsues,Blutegel,Sanguisughe,Sanguessugas,水蛭
EABILITY_LEAVE_NAME,Leave,,Abandono,Partir,Verlassen,Esci,Partir,离开
EABILITY_RETURN_NAME,Return,,Regreso,Revenir,Rückkehr,Ritorna,Retornar,返回
EABILITY_SPIDERSPAWN_NAME,Spider Spawn,,Generación de araña,Invocation d'araignée,Spinne rufen,Generazione Ragno,Gerar Aranha,蜘蛛产卵
EABILITY_WEB_NAME,Web,,Telaraña,Toile,Netz,Ragnatela,Teia,蛛网
EABILITY_SPAWNSPIDERLING_NAME,Spawn Spiderlings,,Generación de arañitas,Invocation de jeunes araignées,Spinnenlinge rufen,Generazione Ragnetti,Gerar Aranhinhas,生成蜘蛛幼体
EABILITY_GOINSANE_NAME,Go Insane!,,¡Locura!,Perds la raison&nbsp;!,Durchdrehen!,Impazzisci!,Enlouquecer!,发疯！
EABILITY_CALMDOWN_NAME,Calm Down!,,¡Tranquilidad!,On se calme&nbsp;!,Beruhigen!,Calmati!,Acalmar-se!,冷静！
EABILITY_BUTTWEB_NAME,Butt Web,,Telaraña anal,Toile du cul,Arschnetz,Ragnatela del Sedere,Teia de Bumbum,屁股网
EABILITY_FLIP_NAME,Flip,,Vuelta,Flip flap,Flip,Capriola,Virada,翻转
EABILITY_FART_NAME,Fart,,Pedo,Pet,Furz,Scoreggia,Pum,放屁
EABILITY_SPAWNWISP_NAME,Spawn Wisp,,Generación de avispa,Invocation de feu follet,Irrlicht rufen,Generazione Fuoco Fatuo,Gerar Fogo-Fátuo,生成幽灵
EABILITY_BOMBTOSS_NAME,Bomb Toss,,Lanzamiento de bomba,Lancer de bombe,Bombenwurf,Lancio di Bomba,Lançamento de Bomba,投掷炸弹
EABILITY_CONVERT_NAME,Convert,,Conversión,Conversion,Konvertieren,Conversione,Conversão,转换
EABILITY_ZEALOT_NAME,Zealot,,Fanatismo,Zélote,Fanatiker,Zelota,Fanatismo,狂热者
EABILITY_BONESHOT_NAME,Bone Shot,,Tiro óseo,Tir d'os,Knochenschuss,Colpo d'Ossa,Disparo Ósseo,骨射
EABILITY_SANDRUSH_NAME,Sand Rush,,Embestida arenosa,Charge sableuse,Sandrausch,Scatto di Sabbia,Ataque de Areia,沙尘冲刺
EABILITY_EAT_NAME,Eat,,Comida,Manger,Essen,Mangia,Comer,吃
EABILITY_POISONATTACK_NAME,Poison Attack,,Ataque venenoso,Attaque empoisonnée,Giftangriff,Attacco Velenoso,Ataque Venenoso,中毒攻击
EABILITY_STING_NAME,Sting,,Picadura,Piqûre,Stich,Puntura,Ferroada,刺针
EABILITY_GRAPPLE_NAME,Grapple,,Sujeción,Baston,Zupacken,Grappino,Agarrão,锁喉
EABILITY_SHOOTGUN_NAME,Shoot Gun,,Disparo de arma,Tir de fusil,Revolver,Colpo di Pistola,Disparo de Arma,开枪
EABILITY_RELOAD_NAME,Reload,,Recarga,Recharge,Nachladen,Ricarica,Recarregamento,重新装填
EABILITY_HUG_NAME,Hug,,Abrazo,Câlin,Umarmung,Abbraccio,Abraço,拥抱
EABILITY_DROPCAT_NAME,Drop Cat,,Gato suelto,Lâcher de chat,Katze fallen lassen,Rilascio del Gatto,Soltar Gato,丢猫
EABILITY_CATSLAP_NAME,Cat Slap,,Garfada felina,Baffe de chat,Katzenschlag,Schiaffo del Gatto,Tapa Felino,拍猫
EABILITY_BIGSPIN_NAME,Big Spin,,Giro grande,Grand tour,Großer Wirbel,Grossa Rotazione,Grande Giro,大旋转
EABILITY_RADIATE_NAME,Radiate,,Radiación,Rayonnement,Ausstrahlen,Irradiazione,Irradiar,辐射
EABILITY_CRACKLE_NAME,Crackle,,Crujido,Crépitement,Knistern,Crepitio,Estalo,噼啪声
EABILITY_BLESS_NAME,Bless,,Bendición,Grâce,Segnen,Benedizione,Abençoar,祝福
EABILITY_FEELGOODDRUGS_NAME,Feel Good Drugs,,Estimulantes,Drogues agréables,Das gute Zeug,Medicine del Buonumore,Drogas Boas,快乐药
EABILITY_FEELBADDRUGS_NAME,Feel Bad Drugs,,Depresivos,Drogues désagréables,Das schlechte Zeug,Medicine del Malumore,Drogas Ruins,沮丧药
EABILITY_RECHARGE_NAME,Recharge,,Recarga,Recharger,Aufladen,Alimentazione,Recarga,充能
EABILITY_KILLDOZE_NAME,Killdoze,,Devastación,Killdoze,Killdozer,Killdoze,Devastação,杀戮重击
EABILITY_GUNKBALL_NAME,Gunk Ball,,Bola de pringue,Boule de crasse,Schmierball,Palla di Poltiglia,Bola de Gosma,污泥球
EABILITY_TELEKENESIS_NAME,Telekinesis,,Telequinesis,Télékinésie,Telekinese,Telecinesi,Telecinese,念动力
EABILITY_MINDCONTROL_NAME,Mind Control,,Control mental,Contrôle psychique,Gedankenkontrolle,Controllo Mentale,Controle Mental,精神控制
EABILITY_MAGICMISSLE_NAME,Magic Missile,,Misil mágico,Missile magique,Magisches Geschoss,Missile Magico,Míssil Mágico,魔法飞弹
EABILITY_MINDBLAST_NAME,Mind Blast,,Explosión mental,Frappe psychique,Gedankenexplosion,Esplosione Mentale,Explosão Mental,心灵爆发
EABILITY_MEGAMINDBLAST_NAME,Mega Mind Blast,,Megaexplosión mental,Méga frappe psychique,Riesige Gedankenexplosion,Mega Esplosione Mentale,Mega Explosão Mental,超级心灵爆发
EABILITY_SPROUT_NAME,Sprout,,Verdugón,Pousse,Schössling,Germoglio,Broto,萌芽
EABILITY_QUAKEJUMP_NAME,Quake Jump,,Salto tembloroso,Saut sismique,Bebensprung,Salto Sismico,Pulo Terremoto,地震跳跃
EABILITY_HEALINGGAS_NAME,Healing Gas,,Gas curativo,Gaz guérisseur,Heilgas,Gas Curativo,Gás Curativo,治疗气体
EABILITY_THORNUP_NAME,Thorn Up,,Espina lista,Pic et pic,Dornen hoch,Spina +,Espinhamento,刺甲提升
EABILITY_SHOT_NAME,Shot,,Tiro,Tir,Schuss,Colpo,Disparo,射击
EABILITY_CONSUME_NAME,Consume!,,Consumo,Consommation,Konsumieren!,Consuma!,Consumir!,消耗！
EABILITY_PUKEWAVE_NAME,Pukewave,,Onda vomitiva,Vague de vomi,Kotzwelle,Onda di Vomito,Onda de Vômito,呕吐波
EABILITY_CRATERHOWL_NAME,Crater Howl!,,Alarido de cráter,Cri étourdissant,Kraterheuler!,Ululato di Cratere!,Uivo de Cratera!,火山口嚎叫！
